PID,Text,Archive
P134042,2(diš) {geš}ban 2(diš) sa {geš}ban 2(diš) {kuš}sag-e₃ {geš}ban e₂-ba-an 1(u) 4(diš) gag-si-sa₂ šu lugal sumun 1(diš) {geš}da-ak-si e₂-ba-an 1(diš) {geš}da-ak-si sumun e₂-ba-an nig₂-be₆-lu₅-da isin₂?{si}{ki}-še₃ kur-giri₃-ni!-še₃ šu ba-ti  ki di-ku₅-mi-šar-ta  ba-zi  ša₃ su-ga  iti maš-da₃-ku₃-gu₇  mu us₂-sa ki-maš{ki} u₃ hur-ti{ki} ba-hul,precious object
P135140,[x] 3(barig) še gur lugal x hul-a x-{d}utu-ka-ta bala-a 3(u) dam lu₂-{d}utu šu ba-ti 3(u) 4(diš) ba-zi-ge šu ba-ti 3(u) 3(diš) dug ib₂-gi-ne₂ še sag 2(diš)-ta KA-a 1(u) 2(diš) zi₃ 1(diš) ŠE₃-ta bala-a 3(diš) še in-u-da  ki-TAG ba-a-tuš a-ra₂ 1(diš)-kam  še ki-TAG-ta KA-a  a-a si-ga ša₃-bi-ta  1(diš) ba-da-tuš? a-ra₂ 2(diš)-kam igi lu₂-dingir-ra di-ku₅-še₃ igi kal-la-mu#? dumu inim-{d}šara₂ igi lugal-he₂-gal₂ en-nu-še₃ [igi] ur-{d}en-lil₂-la₂ dumu inim-dingir-še₃ engar [igi {d}]šul-gi-i₃-li₂-še₃ [igi x]-{d}en-lil₂-la₂-še₃ [x] lu₂#-{d}utu [x] x-ri-ib ARAD₂-da-na-ka [ba]-an-gi-in [mu] us₂#-sa ur-bi₂-lum{ki} ba-hul,domesticated animal
P136312,pisan-dub-ba zi-ga u₃ kurušda-e ib₂-dab₅ ša₃ {kuš}du₁₀-gan ki ab-ba-sa₆-ga mu en {d}nanna kar-zi-da ba-hun i₃-gal₂,domesticated animal
P145041,mu-kuₓ(DU) nu-ub-tuku u₄ 8(diš)-kam giri₃ {d}nanna-ma-ba dub-sar iti maš-da₃-gu₇ mu {d}šu-{d}suen lugal uri₅{ki}-ma-ke₄ ma-da za-ab-ša-li{ki} mu-hul {d}šu-{d}suen lugal kal-ga lugal uri₅{ki}-ma lugal an ub-da limmu₂-ba {d}nanna-ma-ba dub-sar dumu u₂-na-ab-še-en₆ ARAD₂-zu,domesticated animal
P201175,pisan-dub-ba e₂-[tum] nig₂-ka₉-ak sipa-e-ne i₃-gal₂,domesticated animal
P201336,pisan-dub-ba kišib₃ dab?-ba ba-sa₆ i₃-gal₂ mu ša-aš-ru{ki} ba-hul,domesticated animal
P210088,3(u) 2(aš) 2(barig) 2(ban₂) 4(diš) 1/3(diš) sila₃ še-geš-i₃ gur si-i₃-tum nig₂-ka₉-ak ki gu-za-ni-ta lugal-ma₂-gur₈-re u₃ dingir-ab-ba-ni in-ne-gal₂ iti a₂-ki-ti mu {d}šu-{d}suen lugal uri₅{ki}-ma e₂ {d}šara₂ umma{ki} mu-du₃,domesticated animal
P210426,mu-kuₓ(DU) nu-ub-tuku u₄ 3(diš)-kam iti še-sag₁₁-ku₅ mu gu-za {d}en-lil₂-la₂ ba-dim₂,domesticated animal
P211361,mu-kuₓ(DU) nu-ub-tuku giri₃ nu-ur₂-{d}suen dub-sar u₄ 8(diš)-kam iti ses-da-gu₇ mu {d}šu-{d}suen lugal uri₅{ki}-ma-ke₄ ma-da za-ab-ša-li{ki} mu-hul,domesticated animal
P218051,7(aš) 2(barig) 2(ban₂) še gur lugal ki lu₂-bi-mu-ta iti šu-eš₅-ša 3(aš) 3(barig) 2(ban₂) še gur giri₃ ur-ge₆-par₄ 2(aš) 2(barig) 4(ban₂) 5(diš) sila₃ še gur 2(barig) 4(ban₂) 5(diš) sila₃ dabin giri₃ kas₄? še ensi₂ adab{ki}  iti ezem-an-na  n 5(aš) [n x] še gur giri₃ lugal-iri-mu še# ensi₂ ka-zal-lu{ki} iti ezem-me-gi₈-gal₂ ur₅-ra gul-la ki na-lu₅-ta šu+nigin 2(u) 9(aš) 1(barig) 3(ban₂) še gur mu-kuₓ(DU) mu us₂-sa e₂ puzur₄-iš#-{d}da-gan ba-du₃,domesticated animal
P430116,a-da-lal₃ dub-sar dumu puzur₄-{d}nanna,domesticated animal
P303352,5(diš) {geš}ka-kad₄ sumun 1(diš) kuš₃-ta ib₂-sa₂ e₂-gal-ta e₃-a bur₂-su ba-a-si 1(diš) an-dul₃ bur₂ 1(diš) kuš₃ ib₂-sa₂ geš-bi geš x kuš si-ga e₂-gal-la ba-an-ku₄? iti ezem-me-ki-gal₂ mu en {d}nanna kar-zi-da ba-hun,precious object
P303458,e₂-tum zi-ga ki na-sa₆ iti šu-eš-ša mu ha-ar-ši{ki} u₃ ki-maš{ki} ba-hul {d}šul-gi nita kal-ga lugal uri₅{ki}-ma lugal an ub-da limmu₂-ba,domesticated animal
P332056,5(aš) še gur lugal še-ba gab₂-us₂ ka-sahar-ra-e-ne šu ba-ti giri₃ en-um-i₃-li₂ iti ezem-an-na mu {d}nanna kar-zi-da a-ra₂ 2(diš)-kam e₂-an-na ba-an-kuₓ(KWU147),domesticated animal
P412461,1(geš₂) 3(u) sa gi sagi u₄ 2(u) 5(diš)-kam ša₃ nibru{ki} iti ezem-mah ur-gi₄-gi₄? bil₄-x-x x x x,domesticated animal
P332344,3(aš) še gur-lugal ki nin-da-ga₂-ta lugal-u₂-šim-e šu ba-ti gi₄-gi₄-dam iti ezem-an-na mu us₂-sa e₂ puzur₄-iš-{d}da-gan ba-du₃,precious object
P332345,1(diš) tug₂ ib₂-la₂ gal ba-gar 3(diš) tug₂ ib₂-la₂ ki-a šu-hu-ga-ri₂ 1(u) 8(diš) tug₂ gu-du-um-du-um šu-hu-ga-ri₂ 2(diš) KA gaz egir gada duh-ši-a 1(diš) tug₂ ib₂-la₂ ge₆ nig₂-KA-na-še₃ ki puzur₄-i₃-li₂-ta li-i₃-si-in šu ba-ti gaba-ri kišib₃ ša-ni-uk iti še-sag₁₁-ku₅ mu ša-aš-ru{ki} ba-hul,precious object
P332357,2(u) 4(diš) {geš}eme# ki al-la-nu-um mu engar-e-ne-še₃ šu-{d}iškur šu ba-ti iti a₂-ki-ti mu us₂-sa ki-maš{ki} ba-hul-a,precious object
P332362,1(diš) tug₂ u₂-kal#-bi# 4(diš)-kam us₂ ki-la₂-bi 1/3(diš) ma-na 2(diš) ma-na siki {geš}garigₓ(|ZUM.SI|) ak 4(diš)-kam us₂ mu tug₂-mah {d}gu-ud-ma-an-še₃ ki a-u₃-da-ta i-bi₂-{d}suen šu ba-ti iti ezem-me-ki-gal₂ mu en-mah-gal-an-na en-{d}nanna ba-hun,wool
P108696,4(diš) 1/3(diš) ma-na še-gin₂ mu KA-ab-ba-še₃ ki lu₂-{d}nin-šubur-ta ur-{d}lamma nagar šu ba-ti iti ezem-{d}šul-gi mu ki-maš{ki} ba-hul ur-{d}lamma nu-banda₃ nagar dumu ur-{d}nin-banda₃#,precious object
P381748,{d}šu-{d}suen lugal kal-ga lugal uri₅{ki}-ma {d}en-lil₂-zi-ša₃-gal₂ zabar#-dab₅ kurunₓ(|DIN.BI|)-a-[gal] sagi-mah# ugula maš₂-šu-gid₂#-gid₂-de₃-ne ARAD₂-[zu],domesticated animal
P211956,5(diš) maš-da₃-nita₂ mu lu₂ šuku-ra-e-ne-še₃ ARAD₂-mu maškim iti u₄ 8(diš) ba-zal ki a-hu-we-er-ta ba-zi giri₃# ip#-hur šar₂-ra-ab-du iti ezem-{d}nin-a-zu mu us₂-sa {d}šu-{d}suen lugal uri₅{ki}-ma-ke₄ bad₃ mar-tu mu-ri-iq-ti-id-ni-im mu-du₃ 5(diš),domesticated animal
